device_id,attr,value,ts
70645f,tempo,1650916970005729300,2022-04-25T20:02:51.713Z
70645f,data,"1479626075,4423,5705,2401666,3371828,4223,3260,1581852,2919140,4246,3319,1445036,3274902,3326,4245,1990777,2251107,4431,5785,2396716,3419230,5767,4417,2168912,4008854,4332,3225,1507931,2858380,3248,4301,1772344,2357282,5639,4300,2026085,3995381,5515,7204,3051346,4086746,3174,4129,1771931,2208510,4144,3172,1393419,2912051",2022-04-25T20:02:51.713Z
70645f,temperatura,40,2022-04-25T20:03:50.465Z
70645f,umidade,99,2022-04-25T20:03:50.465Z
70645f,tempo,1650917028859074000,2022-04-25T20:03:50.465Z
70645f,data,"1479626076,4519,5971,2591538,3229815,4466,3415,1537106,3182526,4501,3281,1696995,2834877,3286,4481,1765160,2618270,4500,5904,2571912,3150065,5905,4464,2039995,4134808,4405,3423,1586255,3239969,3405,4428,1970443,2473910,5927,4565,2080235,4296102,5648,7398,3199314,4049104,3450,4509,1975363,2555535,4474,3443,1615574,3222395",2022-04-25T20:03:50.465Z
70645f,temperatura,12,2022-04-25T20:03:52.240Z
70645f,umidade,27,2022-04-25T20:03:52.240Z
70645f,tempo,1650917030557983000,2022-04-25T20:03:52.240Z
70645f,data,"1479626076,4519,5971,2591538,3229815,4466,3415,1537106,3182526,4501,3281,1696995,2834877,3286,4481,1765160,2618270,4500,5904,2571912,3150065,5905,4464,2039995,4134808,4405,3423,1586255,3239969,3405,4428,1970443,2473910,5927,4565,2080235,4296102,5648,7398,3199314,4049104,3450,4509,1975363,2555535,4474,3443,1615574,3222395",2022-04-25T20:03:52.240Z
70645f,temperatura,26,2022-04-25T20:04:51.008Z
70645f,umidade,54,2022-04-25T20:04:51.008Z
70645f,tempo,1650917089407915300,2022-04-25T20:04:51.008Z
70645f,data,"1479626077,4351,5930,2389025,3400826,4459,3213,1662991,2779395,4459,3330,1513583,2898203,3318,4473,1808021,2365796,4354,5883,2413031,3269083,5880,4396,2117801,4004279,4468,3322,1624986,2759220,3320,4468,1731008,2533245,6084,4460,2273302,3737072,5717,7822,2952245,4572833,3299,4449,1742951,2575338,4469,3291,1626708,2787062",2022-04-25T20:04:51.008Z
70645f,temperatura,34,2022-04-25T20:04:52.778Z
70645f,umidade,88,2022-04-25T20:04:52.778Z
70645f,tempo,1650917091101365500,2022-04-25T20:04:52.778Z
70645f,data,"1479626077,4351,5930,2389025,3400826,4459,3213,1662991,2779395,4459,3330,1513583,2898203,3318,4473,1808021,2365796,4354,5883,2413031,3269083,5880,4396,2117801,4004279,4468,3322,1624986,2759220,3320,4468,1731008,2533245,6084,4460,2273302,3737072,5717,7822,2952245,4572833,3299,4449,1742951,2575338,4469,3291,1626708,2787062",2022-04-25T20:04:52.778Z
70645f,temperatura,39,2022-04-25T20:05:51.555Z
70645f,umidade,85,2022-04-25T20:05:51.555Z
70645f,tempo,1650917149957989600,2022-04-25T20:05:51.555Z
70645f,data,"1479626078,4513,5964,2492109,3214135,4449,3381,1518374,3004873,4593,3458,1676018,3110474,3461,4602,1924377,2594489,4465,5995,2421386,3358677,6008,4453,2164612,3916869,4569,3441,1575585,3196836,3454,4546,1995159,2443007,5992,4565,2060156,4345667,5715,7517,3254372,4034073,3498,4649,1963466,2559914,4661,3459,1643452,3076697",2022-04-25T20:05:51.555Z
70645f,temperatura,3,2022-04-25T20:05:53.323Z
70645f,umidade,12,2022-04-25T20:05:53.323Z
70645f,tempo,1650917151645938700,2022-04-25T20:05:53.323Z
70645f,data,"1479626078,4513,5964,2492109,3214135,4449,3381,1518374,3004873,4593,3458,1676018,3110474,3461,4602,1924377,2594489,4465,5995,2421386,3358677,6008,4453,2164612,3916869,4569,3441,1575585,3196836,3454,4546,1995159,2443007,5992,4565,2060156,4345667,5715,7517,3254372,4034073,3498,4649,1963466,2559914,4661,3459,1643452,3076697",2022-04-25T20:05:53.323Z
70645f,temperatura,12,2022-04-25T20:06:52.087Z
70645f,umidade,1,2022-04-25T20:06:52.087Z
70645f,tempo,1650917210502385400,2022-04-25T20:06:52.087Z
70645f,data,"1479626079,4440,5953,2520039,3253294,4540,3353,1624862,3017238,4251,3217,1513244,2761697,3204,4262,1735663,2332666,4493,5984,2591084,3173908,5990,4502,2071143,4259930,4483,3218,1692951,2749610,3216,4519,1716309,2645790,5903,4280,2117557,3881182,5433,7361,3003975,4050011,3127,4365,1745057,2504191,4330,3187,1574869,2869753",2022-04-25T20:06:52.087Z
70645f,temperatura,39,2022-04-25T20:06:53.869Z
70645f,umidade,63,2022-04-25T20:06:53.869Z
70645f,tempo,1650917212189015000,2022-04-25T20:06:53.869Z
70645f,data,"1479626079,4440,5953,2520039,3253294,4540,3353,1624862,3017238,4251,3217,1513244,2761697,3204,4262,1735663,2332666,4493,5984,2591084,3173908,5990,4502,2071143,4259930,4483,3218,1692951,2749610,3216,4519,1716309,2645790,5903,4280,2117557,3881182,5433,7361,3003975,4050011,3127,4365,1745057,2504191,4330,3187,1574869,2869753",2022-04-25T20:06:53.869Z
70645f,temperatura,16,2022-04-25T20:07:52.633Z
70645f,umidade,41,2022-04-25T20:07:52.633Z
70645f,tempo,1650917271047052500,2022-04-25T20:07:52.633Z
70645f,data,"1479626080,4386,5849,2387303,3285382,4438,3301,1624109,2823444,4566,3473,1599123,3282663,3473,4546,2005098,2486358,4371,5854,2353255,3332796,5847,4385,2149206,3876838,4404,3355,1495225,2994954,3349,4398,1859537,2321637,5843,4484,2085954,4116114,5520,7191,3162721,3949303,3389,4475,1829489,2422013,4498,3369,1558533,2948776",2022-04-25T20:07:52.633Z
70645f,temperatura,13,2022-04-25T20:07:54.406Z
70645f,umidade,72,2022-04-25T20:07:54.406Z
70645f,tempo,1650917272733079600,2022-04-25T20:07:54.406Z
70645f,data,"1479626080,4386,5849,2387303,3285382,4438,3301,1624109,2823444,4566,3473,1599123,3282663,3473,4546,2005098,2486358,4371,5854,2353255,3332796,5847,4385,2149206,3876838,4404,3355,1495225,2994954,3349,4398,1859537,2321637,5843,4484,2085954,4116114,5520,7191,3162721,3949303,3389,4475,1829489,2422013,4498,3369,1558533,2948776",2022-04-25T20:07:54.406Z
70645f,temperatura,7,2022-04-25T20:08:53.181Z
70645f,umidade,75,2022-04-25T20:08:53.181Z
70645f,tempo,1650917331587211800,2022-04-25T20:08:53.181Z
70645f,data,"1479626082,4404,5850,2393350,3414605,4451,3238,1661722,2815236,4348,3307,1465691,3151055,3322,4348,1905463,2286201,4268,5853,2332944,3332120,5867,4282,2138258,3852886,4346,3240,1542560,2910326,3247,4338,1763662,2428102,5751,4378,2106337,4078121,5525,7330,3031310,4255358,3251,4345,1750680,2417968,4338,3265,1523593,2901330",2022-04-25T20:08:53.181Z
70645f,temperatura,11,2022-04-25T20:08:54.961Z
70645f,umidade,25,2022-04-25T20:08:54.961Z
70645f,tempo,1650917333274292000,2022-04-25T20:08:54.961Z
70645f,data,"1479626082,4404,5850,2393350,3414605,4451,3238,1661722,2815236,4348,3307,1465691,3151055,3322,4348,1905463,2286201,4268,5853,2332944,3332120,5867,4282,2138258,3852886,4346,3240,1542560,2910326,3247,4338,1763662,2428102,5751,4378,2106337,4078121,5525,7330,3031310,4255358,3251,4345,1750680,2417968,4338,3265,1523593,2901330",2022-04-25T20:08:54.961Z
